mentee_subjects,mentee_topics,mentee_competencies,mentee_availability,mentee_difficulty_level,mentee_year_level,mentor_role,mentor_subjects,mentor_topics,mentor_competencies,mentor_availability,mentor_years_experience,mentor_teaching_experience_years,mentor_expertise_level,mentor_year_level,target_score
"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, History & Hardware Evolution, Digital Logic & Data Representation, Interaction Design & Cognitive Models, HCI Principles & Guidelines","File Systems & Permissions, Memory & Storage Types, Computing Generations, Boolean Logic Gates, Interaction Design Frameworks, Guideline Categories of HCI","Thu|15:00-17:00, Wed|13:00-15:00",4,1,Senior IT Student,"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, History & Hardware Evolution, Modular Programming, Data Structures, Debugging & Execution","Boolean Logic Gates, Memory & Storage Types, Variable Scope & Lifetime, 1D/2D Manipulation, Array Creation, Console Debugging Techniques","Tue|10:00-12:00, Sat|09:00-11:00, Wed|13:00-15:00",4,0,4,3,0.3457
"Computer Programming, IT Fundamentals","Debugging & Execution, Modular Programming, Control Structures, Client-Side Scripting, Web Styling, Web Markup","Console Debugging Techniques, Parameters & Return Values, Function Definitions, Loop Control, DOM Manipulation, Event Listeners","Fri|18:00-20:00, Wed|13:00-15:00",4,1,Instructor,"Computer Programming, IT Fundamentals","Data Structures, Debugging & Execution, Control Structures, Web Styling, Client-Side Scripting, Command Line & Web Infra","1D/2D Manipulation, Console Debugging Techniques, Loop Control, Box Model, Event Listeners, JavaScript Syntax","Fri|18:00-20:00, Sat|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",3,2,5,4,0.7121
IT Fundamentals,"Web Markup, Client-Side Scripting, Command Line & Web Infra","Forms & Inputs, Media & Tables, Event Listeners, DOM Manipulation, Domain Name System (DNS), CLI Navigation","Sat|09:00-11:00, Mon|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,"IT Fundamentals, Introduction to Computing","Web Markup, Web Styling, History & Hardware Evolution, Digital Logic & Data Representation","Media & Tables, HTML5 Semantic Elements, Responsive Layouts, Box Model, Memory & Storage Types, Binary/Octal/Hex Conversions","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",3,0,4,4,0.4245
Introduction to Computing,History & Hardware Evolution,"Memory & Storage Types, Computing Generations","Tue|10:00-12:00, Wed|13:00-15:00, Sat|09:00-11:00",4,1,Instructor,"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, Control Structures","Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode), Iteration Patterns, Loop Control","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",6,6,4,4,0.3745
"IT Fundamentals, Introduction to Computing","Web Styling, Web Markup, Command Line & Web Infra, Digital Logic & Data Representation, Operating Systems & Architecture, Computer Networks Basics","Box Model, Forms & Inputs, Media & Tables, HTTP Request Methods, Domain Name System (DNS), Boolean Logic Gates","Mon|09:00-11:00, Wed|13:00-15:00",3,1,Instructor,"IT Fundamentals, Introduction to Computing","Client-Side Scripting, Operating Systems & Architecture, Digital Logic & Data Representation","DOM Manipulation, Event Listeners, OS Fundamentals, Boolean Logic Gates","Fri|18:00-20:00, Mon|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",14,12,5,4,0.6017
Introduction to Computing,"History & Hardware Evolution, Operating Systems & Architecture, Digital Logic & Data Representation","Computing Generations, File Systems & Permissions, Process Management, Boolean Logic Gates","Tue|10:00-12:00, Fri|18:00-20:00, Wed|13:00-15:00",3,1,Instructor,"Introduction to Computing, IT Fundamentals","Digital Logic & Data Representation, Command Line & Web Infra","Data Encoding (ASCII/Unicode), CLI Navigation","Fri|18:00-20:00, Tue|10:00-12:00, Thu|15:00-17:00, Sat|09:00-11:00",6,5,3,4,0.3934
"IT Fundamentals, Introduction to Computing","Web Styling, History & Hardware Evolution, Computer Networks Basics","Responsive Layouts, Box Model, Computing Generations, Processor Architecture, Client-Server Architecture, Network Topologies","Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Command Line & Web Infra, Web Styling, Client-Side Scripting, High-Fidelity Design & Documentation","Domain Name System (DNS), CLI Navigation, Responsive Layouts, JavaScript Syntax, High-Fidelity Prototyping, Design Systems Documentation","Tue|10:00-12:00, Wed|13:00-15:00",13,5,3,4,0.2939
"Introduction to Computing, Computer Programming","Computer Networks Basics, Digital Logic & Data Representation, History & Hardware Evolution, Data Structures, Control Structures, Modular Programming","Client-Server Architecture, Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode), Computing Generations, Array Creation, Conditional Logic","Fri|18:00-20:00, Thu|15:00-17:00",4,1,Instructor,"Introduction to Computing, Computer Programming","Computer Networks Basics, Digital Logic & Data Representation, Data Structures, Modular Programming, Debugging & Execution","Network Topologies, Data Encoding (ASCII/Unicode), Binary/Octal/Hex Conversions, Linear/Binary Searching, Variable Scope & Lifetime, Function Definitions","Fri|18:00-20:00, Sat|09:00-11:00, Thu|15:00-17:00",4,2,4,4,0.721
"Computer Programming, IT Fundamentals","Data Structures, Web Markup, Command Line & Web Infra, Web Styling","Array Creation, Linear/Binary Searching, Media & Tables, HTTP Request Methods, Responsive Layouts, Box Model","Sat|09:00-11:00, Fri|18:00-20:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Web Markup, Web Styling, Command Line & Web Infra, HCI Principles & Guidelines","Forms & Inputs, HTML5 Semantic Elements, Flexbox & Grid, Domain Name System (DNS), CLI Navigation, System Prototype Proposal","Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00, Mon|09:00-11:00",9,5,4,4,0.4029
"IT Fundamentals, Intro to Human Computer Interaction","Client-Side Scripting, Command Line & Web Infra, High-Fidelity Design & Documentation, Prototyping & UI Tooling, HCI Principles & Guidelines","Event Listeners, DOM Manipulation, Domain Name System (DNS), Design Systems Documentation, High-Fidelity Prototyping, Design System & Components","Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",5,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Computer Networks Basics, Digital Logic & Data Representation, History & Hardware Evolution, Prototyping & UI Tooling, HCI Principles & Guidelines, High-Fidelity Design & Documentation","OSI Model Layers, Binary/Octal/Hex Conversions, Processor Architecture, Wireframe Sketching, Figma UI Design, System Prototype Proposal","Fri|18:00-20:00, Wed|13:00-15:00, Mon|09:00-11:00, Thu|15:00-17:00",4,4,4,3,0.3202
"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, History & Hardware Evolution, Computer Networks Basics, HCI Principles & Guidelines","File Systems & Permissions, Memory & Storage Types, OSI Model Layers, HCI Principles & Paradigms","Thu|15:00-17:00, Wed|13:00-15:00, Sat|09:00-11:00",4,1,Instructor,Introduction to Computing,"Operating Systems & Architecture, Computer Networks Basics, Digital Logic & Data Representation","Process Management, OS Fundamentals, OSI Model Layers, Data Encoding (ASCII/Unicode), Binary/Octal/Hex Conversions","Tue|10:00-12:00, Thu|15:00-17:00, Mon|09:00-11:00",11,6,3,4,0.4144
IT Fundamentals,"Client-Side Scripting, Command Line & Web Infra, Web Styling","Event Listeners, DOM Manipulation, Domain Name System (DNS), Responsive Layouts, Flexbox & Grid","Thu|15:00-17:00, Mon|09:00-11:00",3,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Modular Programming, Debugging & Execution, Prototyping & UI Tooling","Variable Scope & Lifetime, Syntax Errors, Logic Troubleshooting, Wireframe Sketching, Design System & Components","Fri|18:00-20:00, Wed|13:00-15:00",8,4,5,4,0.0623
Intro to Human Computer Interaction,"Interaction Design & Cognitive Models, High-Fidelity Design & Documentation, User Research & Behavioral Mapping","Human Information Processing, High-Fidelity Prototyping, User Research & Analysis","Wed|13:00-15:00, Tue|10:00-12:00, Mon|09:00-11:00, Thu|15:00-17:00",2,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, High-Fidelity Design & Documentation, Digital Logic & Data Representation, Operating Systems & Architecture","User Flow Diagrams, Customer Journey Mapping, High-Fidelity Prototyping, Design Systems Documentation, Binary/Octal/Hex Conversions, Process Management","Mon|09:00-11:00, Fri|18:00-20:00, Wed|13:00-15:00, Tue|10:00-12:00",10,3,3,4,0.4704
"IT Fundamentals, Intro to Human Computer Interaction","Web Markup, HCI Principles & Guidelines, User Research & Behavioral Mapping, Interaction Design & Cognitive Models","Forms & Inputs, HCI Principles & Paradigms, Guideline Categories of HCI, Customer Journey Mapping, Human Information Processing, Interaction Design Frameworks","Thu|15:00-17:00, Sat|09:00-11:00",3,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Web Styling, Client-Side Scripting, Interaction Design & Cognitive Models, Prototyping & UI Tooling","Box Model, Event Listeners, Interaction Design Frameworks, Human Information Processing, Figma UI Design","Tue|10:00-12:00, Thu|15:00-17:00",5,4,4,4,0.5791
"IT Fundamentals, Intro to Human Computer Interaction","Web Markup, Web Styling, Command Line & Web Infra, User Research & Behavioral Mapping, High-Fidelity Design & Documentation","HTML5 Semantic Elements, Flexbox & Grid, HTTP Request Methods, CLI Navigation, Customer Journey Mapping, User Flow Diagrams","Mon|09:00-11:00, Thu|15:00-17:00, Sat|09:00-11:00",3,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Client-Side Scripting, Web Styling, User Research & Behavioral Mapping, Prototyping & UI Tooling, High-Fidelity Design & Documentation","Event Listeners, DOM Manipulation, Responsive Layouts, User Research & Analysis, Figma UI Design, Design System & Components","Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",6,4,5,4,0.5915
"IT Fundamentals, Intro to Human Computer Interaction","Command Line & Web Infra, Web Styling, Client-Side Scripting, Interaction Design & Cognitive Models, User Research & Behavioral Mapping, Prototyping & UI Tooling","HTTP Request Methods, Domain Name System (DNS), Box Model, CSS Selectors, JavaScript Syntax, Interaction Design Frameworks","Thu|15:00-17:00, Mon|09:00-11:00",2,1,Instructor,"Introduction to Computing, Computer Programming","History & Hardware Evolution, Computer Networks Basics, Digital Logic & Data Representation, Debugging & Execution, Modular Programming","Computing Generations, OSI Model Layers, Network Topologies, Data Encoding (ASCII/Unicode), Syntax Errors, Function Definitions","Thu|15:00-17:00, Sat|09:00-11:00, Wed|13:00-15:00",13,7,4,4,0.1269
Computer Programming,"Debugging & Execution, Modular Programming, Data Structures","Logic Troubleshooting, Console Debugging Techniques, Function Definitions, Linear/Binary Searching, 1D/2D Manipulation","Wed|13:00-15:00, Tue|10:00-12:00, Sat|09:00-11:00",2,1,Instructor,"IT Fundamentals, Computer Programming","Web Markup, Client-Side Scripting, Data Structures, Control Structures","Forms & Inputs, Media & Tables, DOM Manipulation, 1D/2D Manipulation, Basic Sorting Algorithms, Conditional Logic","Tue|10:00-12:00, Wed|13:00-15:00, Mon|09:00-11:00",5,5,4,4,0.3752
IT Fundamentals,"Client-Side Scripting, Web Styling","JavaScript Syntax, Box Model","Mon|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",3,1,Instructor,"IT Fundamentals, Introduction to Computing","Web Markup, Operating Systems & Architecture, History & Hardware Evolution","HTML5 Semantic Elements, File Systems & Permissions, OS Fundamentals, Computing Generations","Mon|09:00-11:00, Thu|15:00-17:00",8,5,4,4,0.3216
"IT Fundamentals, Computer Programming","Web Markup, Web Styling, Command Line & Web Infra, Debugging & Execution, Control Structures","HTML5 Semantic Elements, Responsive Layouts, CSS Selectors, CLI Navigation, HTTP Request Methods, Console Debugging Techniques","Thu|15:00-17:00, Sat|09:00-11:00",3,1,Senior IT Student,"IT Fundamentals, Computer Programming","Web Styling, Command Line & Web Infra, Client-Side Scripting, Modular Programming, Control Structures","Flexbox & Grid, CSS Selectors, HTTP Request Methods, DOM Manipulation, Function Definitions, Variable Scope & Lifetime","Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",2,1,5,3,0.6589
"Computer Programming, Introduction to Computing","Debugging & Execution, Digital Logic & Data Representation","Logic Troubleshooting, Boolean Logic Gates","Sat|09:00-11:00, Fri|18:00-20:00",3,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, Modular Programming, Operating Systems & Architecture, Digital Logic & Data Representation, History & Hardware Evolution","1D/2D Manipulation, Function Definitions, Parameters & Return Values, File Systems & Permissions, Boolean Logic Gates, Binary/Octal/Hex Conversions","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",11,9,5,4,0.5828
IT Fundamentals,"Command Line & Web Infra, Web Styling","CLI Navigation, Responsive Layouts","Wed|13:00-15:00, Fri|18:00-20:00, Sat|09:00-11:00",4,1,Instructor,"Computer Programming, Introduction to Computing","Modular Programming, Debugging & Execution, Control Structures, Operating Systems & Architecture, Digital Logic & Data Representation","Variable Scope & Lifetime, Function Definitions, Syntax Errors, Logic Troubleshooting, Iteration Patterns, OS Fundamentals","Tue|10:00-12:00, Sat|09:00-11:00",11,3,4,4,0.1483
Introduction to Computing,"Digital Logic & Data Representation, History & Hardware Evolution","Data Encoding (ASCII/Unicode), Memory & Storage Types, Processor Architecture","Fri|18:00-20:00, Sat|09:00-11:00, Wed|13:00-15:00, Mon|09:00-11:00",3,1,Instructor,"Computer Programming, IT Fundamentals","Control Structures, Data Structures, Client-Side Scripting","Conditional Logic, Linear/Binary Searching, Basic Sorting Algorithms, Event Listeners","Fri|18:00-20:00, Mon|09:00-11:00",7,2,4,4,0.1215
Intro to Human Computer Interaction,Interaction Design & Cognitive Models,Interaction Design Frameworks,"Sat|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00, Wed|13:00-15:00",2,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","Interaction Design & Cognitive Models, Computer Networks Basics, Digital Logic & Data Representation, Operating Systems & Architecture","Human Information Processing, Interaction Design Frameworks, OSI Model Layers, Client-Server Architecture, Data Encoding (ASCII/Unicode), Boolean Logic Gates","Fri|18:00-20:00, Sat|09:00-11:00, Tue|10:00-12:00",8,5,5,4,0.3812
"Introduction to Computing, IT Fundamentals","Operating Systems & Architecture, Client-Side Scripting","File Systems & Permissions, DOM Manipulation","Tue|10:00-12:00, Wed|13:00-15:00",2,1,Instructor,"Introduction to Computing, IT Fundamentals","Computer Networks Basics, Client-Side Scripting, Command Line & Web Infra","Network Topologies, Client-Server Architecture, JavaScript Syntax, Domain Name System (DNS), CLI Navigation","Fri|18:00-20:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",14,7,4,4,0.5992
Intro to Human Computer Interaction,"High-Fidelity Design & Documentation, HCI Principles & Guidelines, User Research & Behavioral Mapping","High-Fidelity Prototyping, Design Systems Documentation, HCI Principles & Paradigms, Customer Journey Mapping, User Flow Diagrams","Mon|09:00-11:00, Tue|10:00-12:00, Sat|09:00-11:00",5,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","High-Fidelity Design & Documentation, Interaction Design & Cognitive Models, Prototyping & UI Tooling, Computer Networks Basics","High-Fidelity Prototyping, Human Information Processing, Design System & Components, Wireframe Sketching, OSI Model Layers, Network Topologies","Mon|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",12,2,5,4,0.4053
"Introduction to Computing, Computer Programming","Computer Networks Basics, Operating Systems & Architecture, History & Hardware Evolution, Data Structures, Control Structures, Modular Programming","OSI Model Layers, Process Management, Memory & Storage Types, Computing Generations, Basic Sorting Algorithms, 1D/2D Manipulation","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",4,1,Senior IT Student,"Introduction to Computing, IT Fundamentals","History & Hardware Evolution, Digital Logic & Data Representation, Computer Networks Basics, Client-Side Scripting","Memory & Storage Types, Processor Architecture, Boolean Logic Gates, Network Topologies, Event Listeners","Mon|09:00-11:00, Sat|09:00-11:00",3,0,3,3,0.3137
IT Fundamentals,"Command Line & Web Infra, Web Markup","CLI Navigation, HTTP Request Methods, Media & Tables","Wed|13:00-15:00, Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00",5,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Web Markup, Web Styling, Command Line & Web Infra, HCI Principles & Guidelines, High-Fidelity Design & Documentation, Interaction Design & Cognitive Models","Forms & Inputs, Flexbox & Grid, Domain Name System (DNS), System Prototype Proposal, Guideline Categories of HCI, High-Fidelity Prototyping","Fri|18:00-20:00, Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",11,3,5,4,0.4745
"Introduction to Computing, Intro to Human Computer Interaction","Computer Networks Basics, High-Fidelity Design & Documentation","Network Topologies, Design Systems Documentation, High-Fidelity Prototyping","Sat|09:00-11:00, Tue|10:00-12:00, Mon|09:00-11:00",3,1,Instructor,"Introduction to Computing, Computer Programming","History & Hardware Evolution, Operating Systems & Architecture, Debugging & Execution, Modular Programming","Processor Architecture, Computing Generations, OS Fundamentals, File Systems & Permissions, Syntax Errors, Variable Scope & Lifetime","Fri|18:00-20:00, Tue|10:00-12:00, Thu|15:00-17:00, Mon|09:00-11:00",9,6,3,4,0.2997
"Intro to Human Computer Interaction, IT Fundamentals","Interaction Design & Cognitive Models, Client-Side Scripting","Interaction Design Frameworks, DOM Manipulation","Sat|09:00-11:00, Fri|18:00-20:00",3,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Control Structures, Prototyping & UI Tooling, User Research & Behavioral Mapping","Conditional Logic, Iteration Patterns, Wireframe Sketching, User Research & Analysis","Fri|18:00-20:00, Sat|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",3,3,4,4,0.2935
IT Fundamentals,Command Line & Web Infra,HTTP Request Methods,"Thu|15:00-17:00, Wed|13:00-15:00, Tue|10:00-12:00, Sat|09:00-11:00",4,1,Senior IT Student,"IT Fundamentals, Introduction to Computing","Web Markup, Web Styling, Computer Networks Basics","HTML5 Semantic Elements, Media & Tables, CSS Selectors, Client-Server Architecture, OSI Model Layers","Tue|10:00-12:00, Thu|15:00-17:00, Fri|18:00-20:00",3,3,3,4,0.317
Introduction to Computing,"Computer Networks Basics, History & Hardware Evolution","Client-Server Architecture, Memory & Storage Types, Computing Generations","Thu|15:00-17:00, Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00",3,1,Instructor,"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, Computer Networks Basics, Prototyping & UI Tooling, HCI Principles & Guidelines, User Research & Behavioral Mapping","File Systems & Permissions, OSI Model Layers, Wireframe Sketching, Guideline Categories of HCI, Customer Journey Mapping, User Flow Diagrams","Tue|10:00-12:00, Thu|15:00-17:00",10,3,3,4,0.3317
Introduction to Computing,History & Hardware Evolution,"Memory & Storage Types, Processor Architecture","Fri|18:00-20:00, Thu|15:00-17:00",5,1,Instructor,"Introduction to Computing, Intro to Human Computer Interaction","Computer Networks Basics, History & Hardware Evolution, Operating Systems & Architecture, Prototyping & UI Tooling","Client-Server Architecture, Network Topologies, Computing Generations, File Systems & Permissions, Figma UI Design, Design System & Components","Fri|18:00-20:00, Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",6,2,4,4,0.4299
"Introduction to Computing, Computer Programming","Computer Networks Basics, Operating Systems & Architecture, Debugging & Execution, Data Structures, Modular Programming","Client-Server Architecture, OS Fundamentals, File Systems & Permissions, Syntax Errors, Console Debugging Techniques, Linear/Binary Searching","Sat|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00, Mon|09:00-11:00",3,1,Instructor,"Computer Programming, Introduction to Computing","Modular Programming, Data Structures, Control Structures, Operating Systems & Architecture, History & Hardware Evolution","Function Definitions, 1D/2D Manipulation, Array Creation, Iteration Patterns, Loop Control, Process Management","Thu|15:00-17:00, Fri|18:00-20:00",8,5,5,4,0.5397
"Computer Programming, Introduction to Computing","Modular Programming, Data Structures, Debugging & Execution, History & Hardware Evolution, Digital Logic & Data Representation, Operating Systems & Architecture","Variable Scope & Lifetime, Array Creation, Console Debugging Techniques, Memory & Storage Types, Processor Architecture, Data Encoding (ASCII/Unicode)","Fri|18:00-20:00, Wed|13:00-15:00, Tue|10:00-12:00, Sat|09:00-11:00",4,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Data Structures, Modular Programming, Debugging & Execution, Interaction Design & Cognitive Models, Prototyping & UI Tooling, High-Fidelity Design & Documentation","Array Creation, Function Definitions, Console Debugging Techniques, Syntax Errors, Human Information Processing, Design System & Components","Tue|10:00-12:00, Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",7,2,4,4,0.4073
"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, Digital Logic & Data Representation, Computer Networks Basics, HCI Principles & Guidelines, Interaction Design & Cognitive Models","OS Fundamentals, Boolean Logic Gates, Client-Server Architecture, OSI Model Layers, HCI Principles & Paradigms, Guideline Categories of HCI","Wed|13:00-15:00, Thu|15:00-17:00, Fri|18:00-20:00, Sat|09:00-11:00",2,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, Digital Logic & Data Representation, History & Hardware Evolution, High-Fidelity Design & Documentation, Prototyping & UI Tooling, HCI Principles & Guidelines","Process Management, Boolean Logic Gates, Memory & Storage Types, Computing Generations, Design Systems Documentation, Design System & Components","Thu|15:00-17:00, Wed|13:00-15:00",2,1,4,4,0.585
"Computer Programming, IT Fundamentals","Data Structures, Control Structures, Web Markup, Web Styling, Command Line & Web Infra","Array Creation, Basic Sorting Algorithms, Conditional Logic, Forms & Inputs, Flexbox & Grid, Box Model","Mon|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,"Computer Programming, IT Fundamentals","Control Structures, Debugging & Execution, Client-Side Scripting","Loop Control, Iteration Patterns, Logic Troubleshooting, Syntax Errors, Event Listeners","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",3,2,4,3,0.5578
"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, Control Structures, Debugging & Execution, Data Structures","Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode), Conditional Logic, Loop Control, Console Debugging Techniques, Syntax Errors","Mon|09:00-11:00, Wed|13:00-15:00",4,1,Instructor,"Introduction to Computing, Computer Programming","Computer Networks Basics, Control Structures, Debugging & Execution","Network Topologies, Conditional Logic, Loop Control, Console Debugging Techniques, Logic Troubleshooting","Mon|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",12,4,5,4,0.6962
"Introduction to Computing, Computer Programming","Computer Networks Basics, Digital Logic & Data Representation, Modular Programming, Data Structures","Network Topologies, Data Encoding (ASCII/Unicode), Variable Scope & Lifetime, Linear/Binary Searching, 1D/2D Manipulation","Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",2,1,Instructor,"Introduction to Computing, IT Fundamentals","Digital Logic & Data Representation, Operating Systems & Architecture, Web Markup, Web Styling, Client-Side Scripting","Boolean Logic Gates, Process Management, Media & Tables, Forms & Inputs, Box Model, DOM Manipulation","Mon|09:00-11:00, Wed|13:00-15:00, Tue|10:00-12:00",15,8,4,4,0.2589
"Computer Programming, Introduction to Computing","Control Structures, Modular Programming, Data Structures, History & Hardware Evolution, Operating Systems & Architecture","Iteration Patterns, Parameters & Return Values, Function Definitions, 1D/2D Manipulation, Basic Sorting Algorithms, Memory & Storage Types","Thu|15:00-17:00, Wed|13:00-15:00, Sat|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Digital Logic & Data Representation, Computer Networks Basics, Operating Systems & Architecture, User Research & Behavioral Mapping, HCI Principles & Guidelines","Data Encoding (ASCII/Unicode), Boolean Logic Gates, Network Topologies, Process Management, File Systems & Permissions, User Flow Diagrams","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00",3,0,3,4,0.2776
"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, Modular Programming, Debugging & Execution, Data Structures","Data Encoding (ASCII/Unicode), Boolean Logic Gates, Parameters & Return Values, Variable Scope & Lifetime, Console Debugging Techniques, Basic Sorting Algorithms","Tue|10:00-12:00, Fri|18:00-20:00",4,1,Instructor,"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, History & Hardware Evolution, Operating Systems & Architecture, Control Structures","Data Encoding (ASCII/Unicode), Computing Generations, File Systems & Permissions, Process Management, Iteration Patterns","Fri|18:00-20:00, Thu|15:00-17:00, Tue|10:00-12:00",10,10,4,4,0.6027
"Intro to Human Computer Interaction, Computer Programming","Interaction Design & Cognitive Models, Data Structures, Modular Programming, Debugging & Execution","Interaction Design Frameworks, Human Information Processing, Linear/Binary Searching, Array Creation, Variable Scope & Lifetime, Console Debugging Techniques","Mon|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00",5,1,Instructor,"Intro to Human Computer Interaction, IT Fundamentals","High-Fidelity Design & Documentation, Web Markup, Client-Side Scripting","High-Fidelity Prototyping, Media & Tables, HTML5 Semantic Elements, Event Listeners, JavaScript Syntax","Fri|18:00-20:00, Wed|13:00-15:00, Thu|15:00-17:00",10,10,5,4,0.2774
"IT Fundamentals, Introduction to Computing","Client-Side Scripting, Digital Logic & Data Representation, Operating Systems & Architecture, History & Hardware Evolution","JavaScript Syntax, DOM Manipulation, Data Encoding (ASCII/Unicode), Binary/Octal/Hex Conversions, Process Management, OS Fundamentals","Fri|18:00-20:00, Mon|09:00-11:00",3,1,Instructor,"IT Fundamentals, Introduction to Computing","Web Markup, Client-Side Scripting, Command Line & Web Infra, Digital Logic & Data Representation, Operating Systems & Architecture","Media & Tables, DOM Manipulation, JavaScript Syntax, HTTP Request Methods, CLI Navigation, Boolean Logic Gates","Thu|15:00-17:00, Sat|09:00-11:00, Tue|10:00-12:00",5,3,4,4,0.6089
Computer Programming,"Modular Programming, Control Structures, Data Structures","Function Definitions, Conditional Logic, Basic Sorting Algorithms, 1D/2D Manipulation","Sat|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",4,1,Instructor,"Computer Programming, IT Fundamentals","Control Structures, Data Structures, Client-Side Scripting, Web Styling, Command Line & Web Infra","Conditional Logic, Iteration Patterns, Array Creation, DOM Manipulation, Event Listeners, Flexbox & Grid","Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00, Wed|13:00-15:00",14,12,3,4,0.4383
IT Fundamentals,"Web Styling, Command Line & Web Infra, Web Markup","CSS Selectors, Domain Name System (DNS), Media & Tables","Sat|09:00-11:00, Thu|15:00-17:00",3,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","History & Hardware Evolution, Computer Networks Basics, Operating Systems & Architecture, High-Fidelity Design & Documentation, Interaction Design & Cognitive Models, HCI Principles & Guidelines","Memory & Storage Types, Network Topologies, Process Management, Design Systems Documentation, Human Information Processing, Interaction Design Frameworks","Tue|10:00-12:00, Mon|09:00-11:00, Wed|13:00-15:00",4,2,4,4,0.0986
"Intro to Human Computer Interaction, Computer Programming","User Research & Behavioral Mapping, Debugging & Execution","User Research & Analysis, Customer Journey Mapping, Console Debugging Techniques","Tue|10:00-12:00, Thu|15:00-17:00, Mon|09:00-11:00",3,1,Instructor,Intro to Human Computer Interaction,"User Research & Behavioral Mapping, HCI Principles & Guidelines, Prototyping & UI Tooling","User Research & Analysis, Guideline Categories of HCI, HCI Principles & Paradigms, Wireframe Sketching, Design System & Components","Sat|09:00-11:00, Thu|15:00-17:00",5,4,4,4,0.4031
