mentee_subjects,mentee_topics,mentee_competencies,mentee_availability,mentee_difficulty_level,mentee_year_level,mentor_role,mentor_subjects,mentor_topics,mentor_competencies,mentor_availability,mentor_years_experience,mentor_teaching_experience_years,mentor_expertise_level,mentor_year_level,target_score
PE 1: PATH FIT 1 - Movement Enhancement,,,"Thu|15:00-17:00, Sat|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",4,1,Senior IT Student,"IT Fundamentals, PE 1: PATH FIT 1 - Movement Enhancement","Web Styling, Client-Side Scripting","Flexbox & Grid, DOM Manipulation","Mon|09:00-11:00, Sat|09:00-11:00",3,2,3,3,0.4893
"IT Fundamentals, Introduction to Computing, Intro to Human Computer Interaction","Digital Logic & Data Representation, Interaction Design & Cognitive Models, Prototyping & UI Tooling, Operating Systems & Architecture","Data Encoding (ASCII/Unicode), Human Information Processing, Wireframe Sketching, File Systems & Permissions","Sat|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",4,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Client-Side Scripting, HCI Principles & Guidelines","DOM Manipulation, HCI Principles & Paradigms","Mon|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00, Sat|09:00-11:00",4,2,4,3,0.5108
"Introduction to Computing, IT Fundamentals, Intro to Human Computer Interaction","Digital Logic & Data Representation, Operating Systems & Architecture, HCI Principles & Guidelines","Binary/Octal/Hex Conversions, Process Management, Guideline Categories of HCI","Thu|15:00-17:00, Mon|09:00-11:00, Wed|13:00-15:00",4,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Digital Logic & Data Representation, HCI Principles & Guidelines, Operating Systems & Architecture, Web Styling","Binary/Octal/Hex Conversions, Guideline Categories of HCI, Process Management, Responsive Layouts","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",1,1,5,3,0.8096
GE EL 108: Philippine Indigenous Communities,,,"Tue|10:00-12:00, Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00",3,1,Instructor,"GE 105: Mathematics in the Modern World, IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Web Styling, Operating Systems & Architecture","Flexbox & Grid, OS Fundamentals, Box Model","Thu|15:00-17:00, Wed|13:00-15:00",7,7,4,4,0.2406
PE 2: PATH FIT 2 - Fitness Exercises,,,"Sat|09:00-11:00, Wed|13:00-15:00, Thu|15:00-17:00",5,1,Instructor,"Computer Programming, IT Fundamentals","Debugging & Execution, Web Markup, Web Styling, Modular Programming","Logic Troubleshooting, Forms & Inputs, Responsive Layouts, Parameters & Return Values","Tue|10:00-12:00, Mon|09:00-11:00, Thu|15:00-17:00",8,8,4,4,0.221
"Intro to Human Computer Interaction, Computer Programming","Interaction Design & Cognitive Models, Modular Programming","Interaction Design Frameworks, Human Information Processing, Variable Scope & Lifetime","Mon|09:00-11:00, Tue|10:00-12:00, Sat|09:00-11:00, Fri|18:00-20:00",4,1,Instructor,"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction","Client-Side Scripting, Control Structures, Modular Programming","Event Listeners, Conditional Logic, Parameters & Return Values","Thu|15:00-17:00, Mon|09:00-11:00, Sat|09:00-11:00",3,2,4,4,0.4363
"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction","Data Structures, HCI Principles & Guidelines, Web Markup, Interaction Design & Cognitive Models, Client-Side Scripting","Basic Sorting Algorithms, Guideline Categories of HCI, Media & Tables, Human Information Processing, Event Listeners","Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",4,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing, IT Fundamentals","History & Hardware Evolution, Operating Systems & Architecture, Digital Logic & Data Representation, Interaction Design & Cognitive Models","Memory & Storage Types, File Systems & Permissions, Boolean Logic Gates, Interaction Design Frameworks","Tue|10:00-12:00, Mon|09:00-11:00, Thu|15:00-17:00",11,8,4,4,0.354
Intro to Human Computer Interaction,"User Research & Behavioral Mapping, High-Fidelity Design & Documentation, Prototyping & UI Tooling","User Flow Diagrams, High-Fidelity Prototyping, Design System & Components","Mon|09:00-11:00, Thu|15:00-17:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing, Computer Programming","Web Styling, HCI Principles & Guidelines, Digital Logic & Data Representation, Prototyping & UI Tooling","CSS Selectors, Guideline Categories of HCI, Binary/Octal/Hex Conversions, Wireframe Sketching","Sat|09:00-11:00, Thu|15:00-17:00, Mon|09:00-11:00",14,12,5,4,0.3006
IT Fundamentals,"Command Line & Web Infra, Web Styling, Client-Side Scripting","HTTP Request Methods, Box Model, DOM Manipulation, CLI Navigation, Flexbox & Grid","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00",3,1,Instructor,"Computer Programming, IT Fundamentals, Introduction to Computing","Web Styling, Command Line & Web Infra, Debugging & Execution, Client-Side Scripting, Modular Programming","Box Model, CLI Navigation, Console Debugging Techniques, DOM Manipulation, Flexbox & Grid, Function Definitions, HTTP Request Methods","Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",4,3,5,4,0.5664
"Introduction to Computing, Computer Programming, IT Fundamentals","Operating Systems & Architecture, Web Styling, History & Hardware Evolution, Client-Side Scripting, Digital Logic & Data Representation","File Systems & Permissions, Responsive Layouts, Computing Generations, DOM Manipulation, Binary/Octal/Hex Conversions","Thu|15:00-17:00, Fri|18:00-20:00, Sat|09:00-11:00, Wed|13:00-15:00",3,1,Senior IT Student,Introduction to Computing,Computer Networks Basics,"OSI Model Layers, Network Topologies, Client-Server Architecture","Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00",4,2,3,4,0.3105
Computer Programming,"Debugging & Execution, Modular Programming, Data Structures","Logic Troubleshooting, Parameters & Return Values, 1D/2D Manipulation, Console Debugging Techniques, Linear/Binary Searching","Sat|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00, Mon|09:00-11:00",3,1,Senior IT Student,"Computer Programming, IT Fundamentals","Data Structures, Web Styling, Client-Side Scripting","Linear/Binary Searching, CSS Selectors, Box Model, Event Listeners","Wed|13:00-15:00, Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",3,3,4,4,0.3998
"Intro to Human Computer Interaction, NSTP 2: Civic Welfare Training Service","Interaction Design & Cognitive Models, Prototyping & UI Tooling, High-Fidelity Design & Documentation","Human Information Processing, Design System & Components, Design Systems Documentation","Mon|09:00-11:00, Wed|13:00-15:00",3,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing, NSTP 2: Civic Welfare Training Service","Prototyping & UI Tooling, High-Fidelity Design & Documentation, HCI Principles & Guidelines, Interaction Design & Cognitive Models, Computer Networks Basics","Design System & Components, Design Systems Documentation, Guideline Categories of HCI, High-Fidelity Prototyping, Human Information Processing, Network Topologies","Fri|18:00-20:00, Mon|09:00-11:00, Wed|13:00-15:00",4,3,4,4,0.6308
"Introduction to Computing, Intro to Human Computer Interaction","User Research & Behavioral Mapping, High-Fidelity Design & Documentation, HCI Principles & Guidelines","User Flow Diagrams, Design Systems Documentation, System Prototype Proposal","Sat|09:00-11:00, Wed|13:00-15:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Web Styling, Operating Systems & Architecture, Web Markup","Flexbox & Grid, File Systems & Permissions, Media & Tables","Tue|10:00-12:00, Fri|18:00-20:00",9,2,3,4,0.2013
Computer Programming,"Control Structures, Data Structures, Modular Programming","Loop Control, Linear/Binary Searching, Function Definitions, Iteration Patterns","Tue|10:00-12:00, Wed|13:00-15:00",4,1,Instructor,"IT Fundamentals, Computer Programming, Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Control Structures, Command Line & Web Infra, Web Styling","User Flow Diagrams, Conditional Logic, Domain Name System (DNS), Box Model","Wed|13:00-15:00, Tue|10:00-12:00",9,8,4,4,0.3445
"Computer Programming, IT Fundamentals, PE 1: PATH FIT 1 - Movement Enhancement, PE 2: PATH FIT 2 - Fitness Exercises","Debugging & Execution, Web Markup, Modular Programming, Client-Side Scripting, Web Styling","Logic Troubleshooting, Forms & Inputs, Function Definitions, JavaScript Syntax, Responsive Layouts","Tue|10:00-12:00, Mon|09:00-11:00, Wed|13:00-15:00, Sat|09:00-11:00",2,1,Instructor,"Computer Programming, IT Fundamentals, Introduction to Computing","Operating Systems & Architecture, History & Hardware Evolution, Digital Logic & Data Representation","OS Fundamentals, Memory & Storage Types, Data Encoding (ASCII/Unicode)","Wed|13:00-15:00, Tue|10:00-12:00",11,3,4,4,0.2829
PE 1: PATH FIT 1 - Movement Enhancement,,,"Sat|09:00-11:00, Tue|10:00-12:00",5,1,Senior IT Student,"IT Fundamentals, Introduction to Computing, PE 1: PATH FIT 1 - Movement Enhancement","Web Styling, Web Markup, History & Hardware Evolution, Computer Networks Basics","Box Model, HTML5 Semantic Elements, Processor Architecture, Network Topologies","Mon|09:00-11:00, Sat|09:00-11:00, Fri|18:00-20:00",3,0,3,3,0.4113
"Intro to Human Computer Interaction, Computer Programming","Control Structures, Prototyping & UI Tooling, HCI Principles & Guidelines, High-Fidelity Design & Documentation","Loop Control, Design System & Components, HCI Principles & Paradigms, Design Systems Documentation","Mon|09:00-11:00, Fri|18:00-20:00, Sat|09:00-11:00, Wed|13:00-15:00",5,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","Digital Logic & Data Representation, Interaction Design & Cognitive Models, Prototyping & UI Tooling","Binary/Octal/Hex Conversions, Interaction Design Frameworks, Figma UI Design","Wed|13:00-15:00, Fri|18:00-20:00, Mon|09:00-11:00, Tue|10:00-12:00",9,8,4,4,0.3337
GE 104: Readings in Philippine History,,,"Thu|15:00-17:00, Fri|18:00-20:00, Wed|13:00-15:00, Sat|09:00-11:00",3,1,Instructor,"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing, NSTP 1: Civic Welfare Training Service","Web Markup, Operating Systems & Architecture, Client-Side Scripting","HTML5 Semantic Elements, File Systems & Permissions, Process Management, Event Listeners","Tue|10:00-12:00, Sat|09:00-11:00",9,4,4,4,0.2172
Computer Programming,"Control Structures, Modular Programming, Debugging & Execution","Loop Control, Parameters & Return Values, Function Definitions, Logic Troubleshooting, Conditional Logic","Sat|09:00-11:00, Mon|09:00-11:00, Wed|13:00-15:00",2,1,Instructor,"Computer Programming, IT Fundamentals, Introduction to Computing, NSTP 2: Civic Welfare Training Service","History & Hardware Evolution, Client-Side Scripting, Web Styling, Computer Networks Basics","Memory & Storage Types, DOM Manipulation, Responsive Layouts, Client-Server Architecture","Wed|13:00-15:00, Thu|15:00-17:00, Tue|10:00-12:00",12,11,4,4,0.176
Intro to Human Computer Interaction,"HCI Principles & Guidelines, Prototyping & UI Tooling, User Research & Behavioral Mapping","System Prototype Proposal, Design System & Components, User Research & Analysis, User Flow Diagrams","Thu|15:00-17:00, Wed|13:00-15:00, Fri|18:00-20:00",4,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction","Interaction Design & Cognitive Models, Web Styling","Human Information Processing, Responsive Layouts","Sat|09:00-11:00, Mon|09:00-11:00, Fri|18:00-20:00",4,4,3,3,0.2677
"GE 104: Readings in Philippine History, GE 105: Mathematics in the Modern World",,,"Tue|10:00-12:00, Fri|18:00-20:00, Wed|13:00-15:00",3,1,Instructor,"GE 104: Readings in Philippine History, IT Fundamentals, Intro to Human Computer Interaction","Prototyping & UI Tooling, Client-Side Scripting","Wireframe Sketching, JavaScript Syntax","Sat|09:00-11:00, Tue|10:00-12:00, Fri|18:00-20:00, Thu|15:00-17:00",5,3,3,4,0.4719
"Introduction to Computing, Intro to Human Computer Interaction","History & Hardware Evolution, Operating Systems & Architecture, Computer Networks Basics","Memory & Storage Types, File Systems & Permissions, Client-Server Architecture","Mon|09:00-11:00, Tue|10:00-12:00",4,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","Computer Networks Basics, Operating Systems & Architecture, History & Hardware Evolution","Client-Server Architecture, File Systems & Permissions, Memory & Storage Types, Process Management","Fri|18:00-20:00, Mon|09:00-11:00, Tue|10:00-12:00",12,10,5,4,0.9403
"IT Fundamentals, Intro to Human Computer Interaction","Interaction Design & Cognitive Models, Client-Side Scripting, Command Line & Web Infra","Interaction Design Frameworks, DOM Manipulation, HTTP Request Methods","Fri|18:00-20:00, Thu|15:00-17:00",3,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Client-Side Scripting, Command Line & Web Infra, Interaction Design & Cognitive Models, History & Hardware Evolution","DOM Manipulation, HTTP Request Methods, Interaction Design Frameworks, Memory & Storage Types","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",2,0,5,3,0.7155
Computer Programming,"Debugging & Execution, Control Structures, Modular Programming","Logic Troubleshooting, Conditional Logic, Function Definitions, Syntax Errors","Tue|10:00-12:00, Fri|18:00-20:00, Sat|09:00-11:00",5,1,Senior IT Student,Computer Programming,"Control Structures, Modular Programming, Debugging & Execution","Conditional Logic, Function Definitions, Iteration Patterns, Logic Troubleshooting, Syntax Errors, Variable Scope & Lifetime","Fri|18:00-20:00, Mon|09:00-11:00, Tue|10:00-12:00",2,2,4,4,0.9058
"Introduction to Computing, IT Fundamentals, Computer Programming","Data Structures, Computer Networks Basics","Array Creation, Linear/Binary Searching, OSI Model Layers","Thu|15:00-17:00, Fri|18:00-20:00",3,1,Instructor,"Computer Programming, IT Fundamentals, Introduction to Computing","Data Structures, Client-Side Scripting, Computer Networks Basics","Array Creation, DOM Manipulation, Linear/Binary Searching, OSI Model Layers","Fri|18:00-20:00, Sat|09:00-11:00, Thu|15:00-17:00",9,8,4,4,0.8395
NSTP 1: Civic Welfare Training Service,,,"Mon|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00, Wed|13:00-15:00",4,1,Instructor,"Introduction to Computing, Computer Programming","Data Structures, History & Hardware Evolution, Debugging & Execution, Modular Programming","Linear/Binary Searching, Computing Generations, Console Debugging Techniques, Variable Scope & Lifetime, Parameters & Return Values","Mon|09:00-11:00, Fri|18:00-20:00, Thu|15:00-17:00",11,8,5,4,0.2392
"IT Fundamentals, Intro to Human Computer Interaction","User Research & Behavioral Mapping, Web Styling, HCI Principles & Guidelines, Client-Side Scripting","User Research & Analysis, CSS Selectors, HCI Principles & Paradigms, Box Model, DOM Manipulation","Tue|10:00-12:00, Mon|09:00-11:00, Wed|13:00-15:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Web Styling, Client-Side Scripting, HCI Principles & Guidelines, Web Markup, Computer Networks Basics, Operating Systems & Architecture, User Research & Behavioral Mapping","Box Model, CSS Selectors, DOM Manipulation, HCI Principles & Paradigms, HTML5 Semantic Elements, OSI Model Layers, Process Management, User Research & Analysis","Fri|18:00-20:00, Mon|09:00-11:00, Tue|10:00-12:00",13,5,5,4,0.6629
"Introduction to Computing, Intro to Human Computer Interaction","Operating Systems & Architecture, User Research & Behavioral Mapping, HCI Principles & Guidelines, Computer Networks Basics","File Systems & Permissions, User Research & Analysis, Guideline Categories of HCI, Customer Journey Mapping, Client-Server Architecture","Wed|13:00-15:00, Thu|15:00-17:00, Tue|10:00-12:00, Fri|18:00-20:00",4,1,Instructor,"Computer Programming, Intro to Human Computer Interaction, Introduction to Computing","Computer Networks Basics, User Research & Behavioral Mapping, Prototyping & UI Tooling, Operating Systems & Architecture, HCI Principles & Guidelines","Client-Server Architecture, Customer Journey Mapping, Figma UI Design, File Systems & Permissions, Guideline Categories of HCI, OSI Model Layers, User Research & Analysis","Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",10,4,4,4,0.7352
"Introduction to Computing, Intro to Human Computer Interaction","History & Hardware Evolution, Digital Logic & Data Representation, Interaction Design & Cognitive Models, User Research & Behavioral Mapping","Computing Generations, Memory & Storage Types, Boolean Logic Gates, Interaction Design Frameworks, User Flow Diagrams","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",3,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Operating Systems & Architecture, User Research & Behavioral Mapping, Web Styling, Command Line & Web Infra","Process Management, User Research & Analysis, CSS Selectors, Domain Name System (DNS)","Thu|15:00-17:00, Sat|09:00-11:00, Mon|09:00-11:00, Fri|18:00-20:00",6,2,4,4,0.4346
"Computer Programming, IT Fundamentals, Introduction to Computing","Web Markup, Control Structures, Debugging & Execution, Data Structures","Media & Tables, Loop Control, Syntax Errors, Linear/Binary Searching","Thu|15:00-17:00, Wed|13:00-15:00, Sat|09:00-11:00",4,1,Instructor,"Computer Programming, Introduction to Computing","Modular Programming, Computer Networks Basics, Digital Logic & Data Representation","Variable Scope & Lifetime, OSI Model Layers, Boolean Logic Gates, Data Encoding (ASCII/Unicode)","Wed|13:00-15:00, Sat|09:00-11:00, Tue|10:00-12:00",10,8,3,4,0.3905
"GE EL 108: Philippine Indigenous Communities, IT Fundamentals, Introduction to Computing","Digital Logic & Data Representation, Client-Side Scripting, Computer Networks Basics, History & Hardware Evolution, Command Line & Web Infra","Data Encoding (ASCII/Unicode), DOM Manipulation, Network Topologies, Processor Architecture, HTTP Request Methods","Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00, Fri|18:00-20:00",5,1,Instructor,"GE EL 108: Philippine Indigenous Communities, Intro to Human Computer Interaction","Interaction Design & Cognitive Models, HCI Principles & Guidelines","Human Information Processing, Guideline Categories of HCI","Sat|09:00-11:00, Tue|10:00-12:00, Fri|18:00-20:00",9,7,4,4,0.2257
PE 2: PATH FIT 2 - Fitness Exercises,,,"Thu|15:00-17:00, Wed|13:00-15:00",2,1,Senior IT Student,"IT Fundamentals, Introduction to Computing, PE 2: PATH FIT 2 - Fitness Exercises","Client-Side Scripting, Web Styling, Computer Networks Basics, Operating Systems & Architecture","DOM Manipulation, Flexbox & Grid, OSI Model Layers, File Systems & Permissions","Thu|15:00-17:00, Tue|10:00-12:00",3,1,3,3,0.4225
"GE 108: Understanding the Self, GE EL 108: Philippine Indigenous Communities, IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Digital Logic & Data Representation, Prototyping & UI Tooling, User Research & Behavioral Mapping","Boolean Logic Gates, Design System & Components, User Flow Diagrams","Fri|18:00-20:00, Wed|13:00-15:00, Thu|15:00-17:00",3,1,Instructor,"GE 108: Understanding the Self, GE EL 108: Philippine Indigenous Communities, IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Digital Logic & Data Representation, Web Styling, Client-Side Scripting, Prototyping & UI Tooling, Operating Systems & Architecture, User Research & Behavioral Mapping","Boolean Logic Gates, CSS Selectors, DOM Manipulation, Design System & Components, Process Management, User Flow Diagrams","Fri|18:00-20:00, Thu|15:00-17:00, Wed|13:00-15:00",9,4,5,4,0.7483
NSTP 1: Civic Welfare Training Service,,,"Sat|09:00-11:00, Tue|10:00-12:00",4,1,Senior IT Student,"Computer Programming, IT Fundamentals, NSTP 1: Civic Welfare Training Service","Modular Programming, Web Markup","Function Definitions, Parameters & Return Values, Media & Tables","Wed|13:00-15:00, Sat|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00",4,2,4,3,0.5279
"Computer Programming, IT Fundamentals, NSTP 1: Civic Welfare Training Service","Modular Programming, Command Line & Web Infra, Web Styling, Web Markup","Parameters & Return Values, HTTP Request Methods, Function Definitions, Box Model, HTML5 Semantic Elements","Tue|10:00-12:00, Sat|09:00-11:00, Fri|18:00-20:00",4,1,Senior IT Student,"Computer Programming, IT Fundamentals, NSTP 1: Civic Welfare Training Service","Web Styling, Command Line & Web Infra, Modular Programming, Web Markup, Debugging & Execution","Box Model, CLI Navigation, Function Definitions, HTML5 Semantic Elements, HTTP Request Methods, Parameters & Return Values, Syntax Errors","Sat|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",2,0,5,3,0.819
"Introduction to Computing, Computer Programming, IT Fundamentals","Command Line & Web Infra, Data Structures, Debugging & Execution, History & Hardware Evolution","CLI Navigation, 1D/2D Manipulation, Syntax Errors, Processor Architecture","Mon|09:00-11:00, Wed|13:00-15:00, Tue|10:00-12:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Command Line & Web Infra, Operating Systems & Architecture, Digital Logic & Data Representation","CLI Navigation, File Systems & Permissions, Binary/Octal/Hex Conversions","Sat|09:00-11:00, Thu|15:00-17:00, Mon|09:00-11:00",12,6,4,4,0.4402
IT Fundamentals,"Client-Side Scripting, Web Styling, Web Markup, Command Line & Web Infra","Event Listeners, Responsive Layouts, Forms & Inputs, CLI Navigation, Media & Tables","Tue|10:00-12:00, Wed|13:00-15:00, Fri|18:00-20:00",5,1,Senior IT Student,"Intro to Human Computer Interaction, Computer Programming, IT Fundamentals","HCI Principles & Guidelines, Prototyping & UI Tooling, Control Structures","Guideline Categories of HCI, Wireframe Sketching, Iteration Patterns","Mon|09:00-11:00, Sat|09:00-11:00, Fri|18:00-20:00",2,0,3,4,0.2425
Introduction to Computing,"History & Hardware Evolution, Computer Networks Basics, Digital Logic & Data Representation","Processor Architecture, Client-Server Architecture, Boolean Logic Gates, Memory & Storage Types, OSI Model Layers","Thu|15:00-17:00, Wed|13:00-15:00, Tue|10:00-12:00, Mon|09:00-11:00",5,1,Instructor,"Introduction to Computing, Intro to Human Computer Interaction","Interaction Design & Cognitive Models, HCI Principles & Guidelines, User Research & Behavioral Mapping, Operating Systems & Architecture","Interaction Design Frameworks, System Prototype Proposal, User Research & Analysis, File Systems & Permissions","Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00, Wed|13:00-15:00",5,3,5,4,0.3306
"Intro to Human Computer Interaction, IT Fundamentals","Web Markup, Prototyping & UI Tooling, High-Fidelity Design & Documentation","Forms & Inputs, Figma UI Design, High-Fidelity Prototyping","Wed|13:00-15:00, Tue|10:00-12:00, Sat|09:00-11:00",2,1,Instructor,"IT Fundamentals, Computer Programming, Introduction to Computing","Digital Logic & Data Representation, Data Structures, Web Markup, History & Hardware Evolution","Boolean Logic Gates, Basic Sorting Algorithms, HTML5 Semantic Elements, Processor Architecture","Fri|18:00-20:00, Wed|13:00-15:00",12,5,5,4,0.2125
"Intro to Human Computer Interaction, Introduction to Computing, NSTP 2: Civic Welfare Training Service","Prototyping & UI Tooling, HCI Principles & Guidelines, History & Hardware Evolution","Wireframe Sketching, System Prototype Proposal, Computing Generations","Tue|10:00-12:00, Fri|18:00-20:00, Wed|13:00-15:00, Sat|09:00-11:00",5,1,Instructor,"Computer Programming, Intro to Human Computer Interaction, Introduction to Computing, NSTP 2: Civic Welfare Training Service","History & Hardware Evolution, Modular Programming, HCI Principles & Guidelines, Prototyping & UI Tooling","Computing Generations, Parameters & Return Values, System Prototype Proposal, Wireframe Sketching","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",14,11,5,4,0.7497
Introduction to Computing,"History & Hardware Evolution, Digital Logic & Data Representation","Memory & Storage Types, Processor Architecture, Boolean Logic Gates","Tue|10:00-12:00, Thu|15:00-17:00, Mon|09:00-11:00",3,1,Senior IT Student,"IT Fundamentals, Computer Programming, Intro to Human Computer Interaction","Modular Programming, Web Styling, Client-Side Scripting","Parameters & Return Values, Flexbox & Grid, Event Listeners","Thu|15:00-17:00, Tue|10:00-12:00, Fri|18:00-20:00, Sat|09:00-11:00",4,0,4,3,0.1502
Computer Programming,"Data Structures, Debugging & Execution, Control Structures","Array Creation, Logic Troubleshooting, Loop Control, Console Debugging Techniques","Sat|09:00-11:00, Mon|09:00-11:00, Tue|10:00-12:00",4,1,Instructor,"Computer Programming, IT Fundamentals","Control Structures, Command Line & Web Infra, Web Styling","Conditional Logic, CLI Navigation, Box Model, CSS Selectors","Wed|13:00-15:00, Thu|15:00-17:00",6,4,4,4,0.3405
Introduction to Computing,"Digital Logic & Data Representation, History & Hardware Evolution","Data Encoding (ASCII/Unicode), Computing Generations, Memory & Storage Types, Boolean Logic Gates","Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Sat|09:00-11:00",2,1,Instructor,"IT Fundamentals, Introduction to Computing","Client-Side Scripting, Web Styling","JavaScript Syntax, Flexbox & Grid","Mon|09:00-11:00, Fri|18:00-20:00, Wed|13:00-15:00",3,3,3,4,0.2933
Computer Programming,"Modular Programming, Debugging & Execution, Data Structures","Parameters & Return Values, Syntax Errors, Linear/Binary Searching, Function Definitions","Tue|10:00-12:00, Mon|09:00-11:00, Thu|15:00-17:00, Sat|09:00-11:00",5,1,Instructor,"Computer Programming, GE 105: Mathematics in the Modern World, GE EL 108: Philippine Indigenous Communities, IT Fundamentals, Intro to Human Computer Interaction","Web Styling, High-Fidelity Design & Documentation, Prototyping & UI Tooling, Debugging & Execution","Box Model, Design Systems Documentation, Figma UI Design, Syntax Errors","Wed|13:00-15:00, Sat|09:00-11:00, Fri|18:00-20:00",11,4,4,4,0.2509
"Intro to Human Computer Interaction, IT Fundamentals, Introduction to Computing","Command Line & Web Infra, Web Markup, Client-Side Scripting, Interaction Design & Cognitive Models, Operating Systems & Architecture","CLI Navigation, Media & Tables, JavaScript Syntax, Human Information Processing, File Systems & Permissions","Tue|10:00-12:00, Fri|18:00-20:00, Thu|15:00-17:00",4,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing, PE 1: PATH FIT 1 - Movement Enhancement","Web Styling, Digital Logic & Data Representation, Command Line & Web Infra","Responsive Layouts, Data Encoding (ASCII/Unicode), HTTP Request Methods","Fri|18:00-20:00, Sat|09:00-11:00, Wed|13:00-15:00, Mon|09:00-11:00",4,3,3,3,0.397
Introduction to Computing,"Computer Networks Basics, Operating Systems & Architecture, History & Hardware Evolution","OSI Model Layers, Process Management, Processor Architecture","Sat|09:00-11:00, Mon|09:00-11:00, Wed|13:00-15:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Digital Logic & Data Representation, Web Markup, Computer Networks Basics, Operating Systems & Architecture, History & Hardware Evolution","Binary/Octal/Hex Conversions, Forms & Inputs, OSI Model Layers, Process Management, Processor Architecture","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",4,4,4,4,0.6342
Computer Programming,"Modular Programming, Debugging & Execution","Parameters & Return Values, Logic Troubleshooting, Console Debugging Techniques","Sat|09:00-11:00, Mon|09:00-11:00, Wed|13:00-15:00",5,1,Instructor,Computer Programming,"Modular Programming, Data Structures","Parameters & Return Values, Basic Sorting Algorithms","Wed|13:00-15:00, Tue|10:00-12:00, Thu|15:00-17:00, Fri|18:00-20:00",11,7,4,4,0.618
"Intro to Human Computer Interaction, IT Fundamentals, Computer Programming","Modular Programming, Web Markup, Command Line & Web Infra, Web Styling","Parameters & Return Values, HTML5 Semantic Elements, Domain Name System (DNS), Variable Scope & Lifetime, CSS Selectors","Thu|15:00-17:00, Sat|09:00-11:00, Fri|18:00-20:00",2,1,Instructor,"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction","Web Styling, Command Line & Web Infra, Web Markup, Control Structures, Modular Programming","CSS Selectors, Domain Name System (DNS), HTML5 Semantic Elements, Loop Control, Parameters & Return Values, Responsive Layouts, Variable Scope & Lifetime","Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",15,15,4,4,0.8523
